recommended_action,customer_count,avg_predicted_clv,total_at_risk_clv,formatted_total_at_risk_clv
Standard Nurture Workflow (No Action Needed),9226,-26.981846496267384,-248934.51577456287,"Rs. -248,934.52"
Automated Low-Cost Push Notification Series,3643,-51.41484399570051,-187304.27667633694,"Rs. -187,304.28"
VIP Loyalty Program & Early Sale Access,2813,1721.1310503987434,4841541.644771665,Rs. 48.42L
Win-Back Campaign (15% Category Discount Offer),1928,-16.238461358286724,-31307.7534987768,"Rs. -31,307.75"
VIP Urgent Retention (Concierge Call + Rs. 1500 Voucher),595,4113.494834857636,2447529.4267402934,Rs. 24.48L
Proactive Engagement & Product Cross-Sell,292,2919.6330662412265,852532.8553424381,Rs. 8.53L
