segment,customer_count,total_revenue,avg_recency,avg_monetary,pct_customers,pct_revenue,formatted_revenue,formatted_avg_monetary
Loyal Customers,2646,25288545.82,101.47354497354497,9557.273552532124,14.31,22.93,Rs. 2.53Cr,"Rs. 9,557.27"
New Customers,4813,21801383.53,66.63515478911282,4529.6869997922295,26.02,19.76,Rs. 2.18Cr,"Rs. 4,529.69"
Hibernating / Lost,3630,17770037.82,478.232782369146,4895.327223140496,19.62,16.11,Rs. 1.78Cr,"Rs. 4,895.33"
About to Sleep,2969,13468530.12,304.0340181879421,4536.3860289659815,16.05,12.21,Rs. 1.35Cr,"Rs. 4,536.39"
Champions,885,12234457.1,57.8090395480226,13824.245310734463,4.78,11.09,Rs. 1.22Cr,"Rs. 13,824.25"
Promising / Potential Loyalists,2756,11715115.23,178.49709724238025,4250.7675,14.9,10.62,Rs. 1.17Cr,"Rs. 4,250.77"
At-Risk,742,7149038.93,300.00943396226415,9634.823355795148,4.01,6.48,Rs. 71.49L,"Rs. 9,634.82"
Can't Lose Them,56,876544.33,425.82142857142856,15652.577321428571,0.3,0.79,Rs. 8.77L,"Rs. 15,652.58"
